id,name,type,brand
153,Theo-24,153,153
154,No7 Rebalancing Day Fluid Sunscreen SPF 15,154,154
155,Lidocaine Hydrochloride,155,155
156,Neobryxol Ultra,156,156
157,Naproxen,157,157
158,Lisinopril,158,158
159,Trichoderma,159,159
160,Hyoscyamine Sulfate Extended-Release,160,160
161,Amoxicillin and Clavulanate Potassium,161,161
162,Whole Care,162,162
163,Chloroquine Phosphate,163,163
164,Zaroxolyn,164,164
165,Nicotine,165,165
166,acetaminophen and codeine phosphate,166,166
167,CD DiorSkin Forever Flawless Perfection Fusion Wear Makeup SPF 25 - 020,167,167
168,ACTIQ,168,168
169,CVS Medicated Chest Rub,169,169
170,Warfarin Sodium,170,170
171,Ranitidine,171,171
172,Ibuprofen,172,172
173,Rugby Eye,173,173
174,DG HEALTH MAXIMUM REDNESS RELIEF,174,174
175,Fluvoxamine Maleate,175,175
176,SPF 50 UVA/UVB,176,176
177,AVANDIA,177,177
178,Citalopram,178,178
179,Smart Sense Childrens Pain Relief,179,179
180,Berkley and Jensen nicotine,180,180
181,Nephron FA,181,181
182,PRED FORTE,182,182
183,Emoquette,183,183
184,Long Lasting Finish with Comfort Serum,184,184
185,Rimmel London,185,185
186,Evtox,186,186
187,Propranolol Hydrochloride,187,187
188,Multi-Symptom Daytime Cold,188,188
189,ADVAIR,189,189
190,Hydromorphone HCl,190,190
191,BUSPIRONE HYDROCHLORIDE,191,191
192,Hydrate,192,192
193,Betamethasone Valerate,193,193
194,good neighbor pharmacy ibuprofen,194,194
195,Sudogest PE,195,195
196,Nateglinide,196,196
197,Clozapine,197,197
198,Opahl,198,198
199,Lactated Ringers and Dextrose,199,199
200,LBEL REPLENISHING FOUNDATION SPF 14,200,200
