id,name,type,brand
109,Acetaminophen PM,Clothes,81-237-5936
110,Gas Relief,Clothes,85-524-1429
111,Goldenrod,Clothes,88-708-3657
112,leader tussin cf,Clothes,50-917-9964
113,SHISEIDO SHEER MATIFYING COMPACT (REFILL),Clothes,34-771-8865
114,Glycopyrrolate,Clothes,54-445-6394
115,Arnica Aurum Equisetum,Clothes,19-994-1009
116,Whole Wheat Grain,Clothes,94-904-7376
117,Metoprolol Tartrate,Clothes,90-845-5392
118,Equaline Moisturizing Dandruff,Clothes,67-731-1420
119,Synthroid,Clothes,79-608-9432
120,Diazepam,Clothes,16-282-0363
121,Speed Stick,Clothes,52-022-1568
122,Botanics Mattifying Day All Bright Sunscreen Broad Spectrum SPF 15,Clothes,37-416-0090
123,Secret Scent Expressions,Clothes,24-764-5526
124,Apiol,Clothes,87-557-7211
125,APRIL Bath and Shower Cucumber Melon Scented Antibacterial HAND SANITIZER,Clothes,82-568-0911
126,Neuralgo Rheum,Clothes,87-507-2434
127,Bryophyllum e fol. 10,Clothes,01-798-1140
128,Stachybotrys,Clothes,18-576-7984
"129,""Isometheptene Mucate, Caffeine, and Acetaminophen"",129,129",,Clothes,42-986-1082
130,Lidocaine Hydrochloride,Clothes,15-315-3041
131,Sucralfate,Clothes,19-897-8748
132,MAMONDE BRIGHTENING PACT 10HR N23,Clothes,38-909-4168
133,Soothe,Clothes,51-589-3940
134,Gemcitabine Hydrochloride,Clothes,14-397-7822
135,Lym D,Clothes,62-944-0975
136,Nexavar,Clothes,78-992-0287
137,rexall ibuprofen,Clothes,72-979-9118
138,CC SPF 18,Clothes,37-322-1434
139,Vitamin H Velvet Mask,Clothes,17-514-8834
140,Pomegranate Antibacterial Foaming Hand Wash,Clothes,74-989-2296
141,Simvastatin,Clothes,92-298-1749
142,Permethrin,Clothes,23-329-2797
143,Amitriptyline Hydrochloride,Clothes,88-370-7307
144,Amitriptyline Hydrochloride,Clothes,89-189-6433
145,Allergies Total Mold Control,Clothes,05-919-1599
146,Nefazodone Hydrochloride,Clothes,16-362-8168
147,Avon Sun Sport,Clothes,14-388-6229
148,Signature Body,Clothes,18-972-2898
149,Childrens Mucus Relief,Clothes,46-585-1954
150,Cilostazol,Clothes,99-506-5229
151,InstantFOAM non-alcohol hand sanitizer,Clothes,54-166-0744
152,Ropinirole,Clothes,97-898-3349
153,Theo-24,Clothes,49-848-5428
154,No7 Rebalancing Day Fluid Sunscreen SPF 15,Clothes,36-059-2999
155,Lidocaine Hydrochloride,Clothes,64-900-9861
156,Neobryxol Ultra,Clothes,00-562-7087
157,Naproxen,Clothes,05-739-7268
158,Lisinopril,Clothes,11-069-4546
159,Trichoderma,Clothes,29-649-4866
160,Hyoscyamine Sulfate Extended-Release,Clothes,38-008-2233
161,Amoxicillin and Clavulanate Potassium,Clothes,53-738-1865
162,Whole Care,Clothes,04-975-9010
163,Chloroquine Phosphate,Clothes,96-611-3067
164,Zaroxolyn,Clothes,06-590-3703
165,Nicotine,Clothes,88-886-8210
166,acetaminophen and codeine phosphate,Clothes,61-899-1541
167,CD DiorSkin Forever Flawless Perfection Fusion Wear Makeup SPF 25 - 020,Clothes,77-112-2130
168,ACTIQ,Clothes,74-511-6141
169,CVS Medicated Chest Rub,Repair parts,54-330-8717
170,Warfarin Sodium,Repair parts,31-952-7088
171,Ranitidine,Repair parts,96-695-4501
172,Ibuprofen,Repair parts,33-097-6628
173,Rugby Eye,Repair parts,25-927-2450
174,DG HEALTH MAXIMUM REDNESS RELIEF,Repair parts,24-895-6684
175,Fluvoxamine Maleate,Repair parts,75-743-7722
176,SPF 50 UVA/UVB,Repair parts,27-578-7069
177,AVANDIA,Repair parts,36-796-1471
178,Citalopram,Repair parts,04-521-6790
179,Smart Sense Childrens Pain Relief,Repair parts,84-576-7482
180,Berkley and Jensen nicotine,Repair parts,66-026-6201
181,Nephron FA,Repair parts,15-395-9999
182,PRED FORTE,Repair parts,83-091-3180
183,Emoquette,Repair parts,89-611-2896
184,Long Lasting Finish with Comfort Serum,Repair parts,22-974-0048
185,Rimmel London,Repair parts,74-346-6774
186,Evtox,Medicine,00-733-6174
187,Propranolol Hydrochloride,Medicine,49-286-8115
188,Multi-Symptom Daytime Cold,Medicine,91-257-6817
189,ADVAIR,Medicine,53-034-7004
190,Hydromorphone HCl,Medicine,15-098-7160
191,BUSPIRONE HYDROCHLORIDE,Medicine,89-145-6242
192,Hydrate,Medicine,30-461-1220
193,Betamethasone Valerate,Medicine,24-281-7375
194,good neighbor pharmacy ibuprofen,Medicine,01-745-1371
195,Sudogest PE,Medicine,27-196-0014
196,Nateglinide,Medicine,30-900-4594
197,Clozapine,Medicine,71-509-6148
198,Opahl,Medicine,58-986-7219
199,Lactated Ringers and Dextrose,Medicine,465-500-5959
200,LBEL REPLENISHING FOUNDATION SPF 14,Medicine,815-377-1661
